"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000006704",1001.32403669538,-0.00352342320840495,0.151629353342251,-0.0232370786443443,0.981461162103982,0.99973703262644
"ENSG00000006712",3374.14560248191,-0.0585759273915835,0.240739528925649,-0.243316615484756,0.807760133810256,0.99973703262644
"ENSG00000006715",13128.5647604178,0.104583028795732,0.0825782284668034,1.26647217720073,0.205344084390008,0.99973703262644
"ENSG00000006740",228.539575593145,0.0631606633631055,0.165031682913011,0.382718410478778,0.701928562326322,0.99973703262644
"ENSG00000006744",3178.9507062088,-0.0093250318797279,0.147643790601621,-0.0631589844837371,0.949639905178932,0.99973703262644
"ENSG00000006747",973.378293185579,0.151264901304381,0.499135460182501,0.303053806774363,0.761848856541922,0.99973703262644
"ENSG00000006756",3270.74518849819,0.0613908936618917,0.1402631863008,0.43768358099492,0.661615673340857,0.99973703262644
"ENSG00000006757",669.84884586765,-0.23574782425088,0.165772841415135,-1.42211367216968,0.154993254345675,0.99973703262644
"ENSG00000006788",50.912303324102,0.238550931863687,0.516960139743778,0.461449372057816,0.644476236468573,0.99973703262644
"ENSG00000006831",3881.77988459296,0.00741398168836538,0.0839467077128192,0.0883177183520827,0.929624156774269,0.99973703262644
"ENSG00000006837",1887.25504982432,0.0893235471516399,0.110195553560651,0.810591210492689,0.4176004660953,0.99973703262644
"ENSG00000007047",979.376889364271,0.0340430764795124,0.228554658470223,0.148949387894221,0.881593569944607,0.99973703262644
"ENSG00000007080",315.393333450736,-0.0327756769272998,0.541588706668432,-0.0605176520923386,0.951743357279576,0.99973703262644
"ENSG00000007168",51421.6879935188,0.107592531456994,0.0854324804944316,1.25938672076842,0.207890683505476,0.99973703262644
"ENSG00000007202",19591.6513874624,0.102958983494591,0.160050174095869,0.643291918151361,0.520034699398304,0.99973703262644
"ENSG00000007237",4505.98960420498,0.0469251184927001,0.224590718008161,0.208936143527513,0.834498088331087,0.99973703262644
"ENSG00000007255",71.5958249159406,0.00376496115376658,0.308936018424743,0.0121868637168434,0.990276530284033,0.99973703262644
"ENSG00000007341",4806.959550125,0.118419664308942,0.107693862476585,1.09959529341506,0.271508493564541,0.99973703262644
"ENSG00000007372",532.904187108131,-0.0428560801428965,0.242550659620495,-0.17668919231121,0.859752530594674,0.99973703262644
"ENSG00000007376",241.262123053776,-0.147932070371318,0.304459389333295,-0.485884408739239,0.627049123299888,0.99973703262644
"ENSG00000007384",1443.01227946243,-0.0379671993066885,0.229440171646713,-0.165477557980341,0.868568112450983,0.99973703262644
"ENSG00000007392",5237.8945931355,-0.0488519736183159,0.12465066116361,-0.391911066995426,0.695123925529399,0.99973703262644
"ENSG00000007402",23.3250063457784,0.338753236675381,0.267352598178701,1.26706543711595,0.205131892785911,NA
"ENSG00000007516",519.73486809224,-0.0615528410930947,0.22282126658169,-0.276243116455531,0.782361342967658,0.99973703262644
"ENSG00000007520",1167.6526886794,-0.116728654363527,0.249860166231049,-0.467175925335718,0.640374016490558,0.99973703262644
"ENSG00000007541",463.471241508849,-0.0238455907343903,0.30759159359018,-0.077523544957997,0.93820706146637,0.99973703262644
"ENSG00000007545",1660.99893011885,-0.00230194736881594,0.244147176663709,-0.00942852340245027,0.992477238204741,0.99973703262644
"ENSG00000007866",1309.3894469764,-0.0884344462834155,0.204690768239814,-0.43203925142245,0.665712885458005,0.99973703262644
"ENSG00000007923",3575.47606955761,-0.0695512036446839,0.229419163583129,-0.303162135884444,0.761766303143729,0.99973703262644
"ENSG00000007933",56.5966404705495,0.0133748770843257,0.523462101972634,0.0255508030742308,0.979615626702816,0.99973703262644
"ENSG00000007944",4060.64075174773,-0.21311359393184,0.22070450734206,-0.965605988288883,0.334241377707615,0.99973703262644
"ENSG00000007952",73.3853951278607,0.0142467886782326,0.19663273335898,0.0724537997049714,0.942240771282208,0.99973703262644
"ENSG00000007968",183.916032254009,0.076661792558522,0.327448341556592,0.23411873822324,0.814892799139671,0.99973703262644
"ENSG00000008018",6786.33112503442,-0.0689488231467348,0.165500369728877,-0.416608272595927,0.676964957415919,0.99973703262644
"ENSG00000008056",42.7969521949449,-0.0632178040249931,0.236539089257994,-0.26726155166701,0.789267787656858,0.99973703262644
"ENSG00000008083",3053.04927066277,0.0441985129107798,0.132497922942323,0.3335789114975,0.738697333791184,0.99973703262644
"ENSG00000008086",2381.08666642425,0.209147574588953,0.143475447892032,1.45772379638319,0.144916690065206,0.99973703262644
"ENSG00000008118",101.573401372032,-0.115230209724794,0.5557539416984,-0.207340337295039,0.835744073934077,0.99973703262644
"ENSG00000008128",1232.32106683595,-0.187324107770103,0.136076401934586,-1.37660979498967,0.168632920918351,0.99973703262644
"ENSG00000008130",1916.83129054837,0.0586345148901056,0.182500635623412,0.321283894107072,0.747995260607554,0.99973703262644
